label,kv_len,batch_size,num_qo_heads,num_kv_heads,head_dim,page_size,NUM_STAGES_SMEM,TILE_SIZE_PER_BDX,VEC_SIZE,BDX,BDY,BDZ,KV_TILE_TOKENS,ms,tflops,gb_per_s_est
[baseline_before] llama3_8b,128,8,32,8,128,16,2,1,8,16,4,2,8,0.03831,0.438,109.5
[baseline_before] llama3_8b,256,8,32,8,128,16,2,1,8,16,4,2,8,0.04733,0.709,177.2
[baseline_before] llama3_8b,384,8,32,8,128,16,2,1,8,16,4,2,8,0.0472,1.066,266.6
[baseline_before] llama3_8b,512,8,32,8,128,16,2,1,8,16,4,2,8,0.04685,1.432,358.1
[baseline_before] llama3_8b,640,8,32,8,128,16,2,1,8,16,4,2,8,0.04718,1.778,444.5
[baseline_before] llama3_8b,768,8,32,8,128,16,2,1,8,16,4,2,8,0.04582,2.197,549.2
[baseline_before] llama3_8b,896,8,32,8,128,16,2,1,8,16,4,2,8,0.04637,2.533,633.2
[baseline_before] llama3_8b,1024,8,32,8,128,16,2,1,8,16,4,2,8,0.05749,2.335,583.6
[baseline_before] llama3_8b,1152,8,32,8,128,16,2,1,8,16,4,2,8,0.05413,2.79,697.4
[baseline_before] llama3_8b,1280,8,32,8,128,16,2,1,8,16,4,2,8,0.05963,2.813,703.4
[baseline_before] llama3_8b,1408,8,32,8,128,16,2,1,8,16,4,2,8,0.06341,2.91,727.6
[baseline_before] llama3_8b,1536,8,32,8,128,16,2,1,8,16,4,2,8,0.06846,2.941,735.2
[baseline_before] llama3_8b,1664,8,32,8,128,16,2,1,8,16,4,2,8,0.07364,2.962,740.4
[baseline_before] llama3_8b,1792,8,32,8,128,16,2,1,8,16,4,2,8,0.07789,3.015,753.9
[baseline_before] llama3_8b,1920,8,32,8,128,16,2,1,8,16,4,2,8,0.08317,3.026,756.4
[baseline_before] llama3_8b,2048,8,32,8,128,16,2,1,8,16,4,2,8,0.08695,3.087,771.8
[baseline_before] llama3_8b,2176,8,32,8,128,16,2,1,8,16,4,2,8,0.09252,3.083,770.7
[baseline_before] llama3_8b,2304,8,32,8,128,16,2,1,8,16,4,2,8,0.09749,3.098,774.4
[baseline_before] llama3_8b,2432,8,32,8,128,16,2,1,8,16,4,2,8,0.10218,3.12,779.9
[baseline_before] llama3_8b,2560,8,32,8,128,16,2,1,8,16,4,2,8,0.10737,3.125,781.2
[baseline_before] llama3_8b,2688,8,32,8,128,16,2,1,8,16,4,2,8,0.11177,3.152,788.1
[baseline_before] llama3_8b,2816,8,32,8,128,16,2,1,8,16,4,2,8,0.11667,3.164,790.9
[baseline_before] llama3_8b,2944,8,32,8,128,16,2,1,8,16,4,2,8,0.12146,3.177,794.3
[baseline_before] llama3_8b,3072,8,32,8,128,16,2,1,8,16,4,2,8,0.12538,3.211,802.9
[baseline_before] llama3_8b,3200,8,32,8,128,16,2,1,8,16,4,2,8,0.13009,3.224,806.0
[baseline_before] llama3_8b,3328,8,32,8,128,16,2,1,8,16,4,2,8,0.13474,3.237,809.3
[baseline_before] llama3_8b,3456,8,32,8,128,16,2,1,8,16,4,2,8,0.13974,3.242,810.4
[baseline_before] llama3_8b,3584,8,32,8,128,16,2,1,8,16,4,2,8,0.14566,3.225,806.3
[baseline_before] llama3_8b,3712,8,32,8,128,16,2,1,8,16,4,2,8,0.15004,3.243,810.7
[baseline_before] llama3_8b,3840,8,32,8,128,16,2,1,8,16,4,2,8,0.15436,3.261,815.1
[baseline_before] llama3_8b,3968,8,32,8,128,16,2,1,8,16,4,2,8,0.15939,3.263,815.7
[baseline_before] llama3_8b,4096,8,32,8,128,16,2,1,8,16,4,2,8,0.16385,3.277,819.2
[baseline_before] llama3_8b,4224,8,32,8,128,16,2,1,8,16,4,2,8,0.16943,3.268,816.9
[baseline_before] llama3_8b,4352,8,32,8,128,16,2,1,8,16,4,2,8,0.1739,3.28,820.0
[baseline_before] llama3_8b,4480,8,32,8,128,16,2,1,8,16,4,2,8,0.17747,3.309,827.2
[baseline_before] llama3_8b,4608,8,32,8,128,16,2,1,8,16,4,2,8,0.18344,3.293,823.1
[baseline_before] llama3_8b,4736,8,32,8,128,16,2,1,8,16,4,2,8,0.18776,3.306,826.5
[baseline_before] llama3_8b,4864,8,32,8,128,16,2,1,8,16,4,2,8,0.19299,3.303,825.9
[baseline_before] llama3_8b,4992,8,32,8,128,16,2,1,8,16,4,2,8,0.19773,3.309,827.3
[baseline_before] llama3_8b,5120,8,32,8,128,16,2,1,8,16,4,2,8,0.20142,3.332,833.0
[baseline_before] llama3_8b,5248,8,32,8,128,16,2,1,8,16,4,2,8,0.20702,3.323,830.7
[baseline_before] llama3_8b,5376,8,32,8,128,16,2,1,8,16,4,2,8,0.21152,3.331,832.8
[baseline_before] llama3_8b,5504,8,32,8,128,16,2,1,8,16,4,2,8,0.21545,3.348,837.1
[baseline_before] llama3_8b,5632,8,32,8,128,16,2,1,8,16,4,2,8,0.2213,3.336,833.9
