label,kv_len,batch_size,num_qo_heads,num_kv_heads,head_dim,page_size,dtype,use_tensor_cores,backend,fixed_split_size,requested_fixed_split_size,target_split_k,split_k_count,disable_split_kv,split_kv,kv_chunk_size_tokens,kv_chunk_size_pages,num_chunks_kv,CTA_TILE_Q,CTA_TILE_KV,NUM_MMA_Q,NUM_MMA_KV,NUM_WARPS_Q,NUM_WARPS_KV,ms,tflops,gb_per_s_est
[baseline_before] llama3_8b_float16_split_k_1,128,16,32,8,128,16,fp16,1,fa2,8,,1,1,0,0,128,8,1,16,64,1,1,1,4,0.04226,0.794,198.5
[baseline_before] llama3_8b_float16_split_k_1,256,16,32,8,128,16,fp16,1,fa2,16,,1,1,0,0,256,16,1,16,64,1,1,1,4,0.05487,1.223,305.8
[baseline_before] llama3_8b_float16_split_k_1,384,16,32,8,128,16,fp16,1,fa2,24,,1,1,0,0,384,24,1,16,64,1,1,1,4,0.05589,1.801,450.3
[baseline_before] llama3_8b_float16_split_k_1,512,16,32,8,128,16,fp16,1,fa2,32,,1,1,0,0,512,32,1,16,64,1,1,1,4,0.04774,2.812,702.9
[baseline_before] llama3_8b_float16_split_k_1,640,16,32,8,128,16,fp16,1,fa2,40,,1,1,0,0,640,40,1,16,64,1,1,1,4,0.05721,2.932,733.1
[baseline_before] llama3_8b_float16_split_k_1,768,16,32,8,128,16,fp16,1,fa2,48,,1,1,0,0,768,48,1,16,64,1,1,1,4,0.06633,3.035,758.8
[baseline_before] llama3_8b_float16_split_k_1,896,16,32,8,128,16,fp16,1,fa2,56,,1,1,0,0,896,56,1,16,64,1,1,1,4,0.07589,3.095,773.7
[baseline_before] llama3_8b_float16_split_k_1,1024,16,32,8,128,16,fp16,1,fa2,64,,1,1,0,0,1024,64,1,16,64,1,1,1,4,0.08514,3.153,788.2
[baseline_before] llama3_8b_float16_split_k_1,1152,16,32,8,128,16,fp16,1,fa2,72,,1,1,0,0,1152,72,1,16,64,1,1,1,4,0.09399,3.213,803.3
[baseline_before] llama3_8b_float16_split_k_1,1280,16,32,8,128,16,fp16,1,fa2,80,,1,1,0,0,1280,80,1,16,64,1,1,1,4,0.10297,3.259,814.7
[baseline_before] llama3_8b_float16_split_k_1,1408,16,32,8,128,16,fp16,1,fa2,88,,1,1,0,0,1408,88,1,16,64,1,1,1,4,0.11227,3.287,821.9
[baseline_before] llama3_8b_float16_split_k_1,1536,16,32,8,128,16,fp16,1,fa2,96,,1,1,0,0,1536,96,1,16,64,1,1,1,4,0.1217,3.309,827.2
[baseline_before] llama3_8b_float16_split_k_1,1664,16,32,8,128,16,fp16,1,fa2,104,,1,1,0,0,1664,104,1,16,64,1,1,1,4,0.13096,3.331,832.7
[baseline_before] llama3_8b_float16_split_k_1,1792,16,32,8,128,16,fp16,1,fa2,112,,1,1,0,0,1792,112,1,16,64,1,1,1,4,0.14044,3.345,836.2
[baseline_before] llama3_8b_float16_split_k_1,1920,16,32,8,128,16,fp16,1,fa2,120,,1,1,0,0,1920,120,1,16,64,1,1,1,4,0.14958,3.365,841.2
[baseline_before] llama3_8b_float16_split_k_1,2048,16,32,8,128,16,fp16,1,fa2,128,,1,1,0,0,2048,128,1,16,64,1,1,1,4,0.15917,3.373,843.2
[baseline_before] llama3_8b_float16_split_k_1,2176,16,32,8,128,16,fp16,1,fa2,136,,1,1,0,0,2176,136,1,16,64,1,1,1,4,0.16848,3.386,846.4
[baseline_before] llama3_8b_float16_split_k_1,2304,16,32,8,128,16,fp16,1,fa2,144,,1,1,0,0,2304,144,1,16,64,1,1,1,4,0.17814,3.391,847.6
[baseline_before] llama3_8b_float16_split_k_1,2432,16,32,8,128,16,fp16,1,fa2,152,,1,1,0,0,2432,152,1,16,64,1,1,1,4,0.18814,3.389,847.2
[baseline_before] llama3_8b_float16_split_k_1,2560,16,32,8,128,16,fp16,1,fa2,160,,1,1,0,0,2560,160,1,16,64,1,1,1,4,0.19702,3.406,851.5
