label,seq_len,batch_size,num_qo_heads,num_kv_heads,head_dim,page_size,CTA_TILE_Q,CTA_TILE_KV,NUM_MMA_Q,NUM_MMA_KV,NUM_WARPS_Q,NUM_WARPS_KV,ms,tflops
[baseline_before] llama3_8b,128,8,32,8,128,16,128,32,2,2,4,1,0.0573,18.726
[baseline_before] llama3_8b,256,8,32,8,128,16,128,32,2,2,4,1,0.1342,32.002
[baseline_before] llama3_8b,384,8,32,8,128,16,128,32,2,2,4,1,0.24,40.27
[baseline_before] llama3_8b,512,8,32,8,128,16,128,32,2,2,4,1,0.3811,45.078
[baseline_before] llama3_8b,640,8,32,8,128,16,128,32,2,2,4,1,0.5206,51.566
[baseline_before] llama3_8b,768,8,32,8,128,16,128,32,2,2,4,1,0.7161,53.977
[baseline_before] llama3_8b,896,8,32,8,128,16,128,32,2,2,4,1,0.9433,55.774
[baseline_before] llama3_8b,1024,8,32,8,128,16,128,32,2,2,4,1,1.1986,57.332
[baseline_before] llama3_8b,1152,8,32,8,128,16,128,32,2,2,4,1,1.5077,57.687
[baseline_before] llama3_8b,1280,8,32,8,128,16,128,32,2,2,4,1,1.8221,58.928
[baseline_before] llama3_8b,1408,8,32,8,128,16,128,32,2,2,4,1,2.1598,60.155
[baseline_before] llama3_8b,1536,8,32,8,128,16,128,32,2,2,4,1,2.57,60.163
[baseline_before] llama3_8b,1664,8,32,8,128,16,128,32,2,2,4,1,2.9563,61.382
[baseline_before] llama3_8b,1792,8,32,8,128,16,128,32,2,2,4,1,3.4203,61.531
[baseline_before] llama3_8b,1920,8,32,8,128,16,128,32,2,2,4,1,3.8793,62.277
[baseline_before] llama3_8b,2048,8,32,8,128,16,128,32,2,2,4,1,4.3908,62.603
[baseline_before] llama3_8b,2176,8,32,8,128,16,128,32,2,2,4,1,4.9658,62.49
[baseline_before] llama3_8b,2304,8,32,8,128,16,128,32,2,2,4,1,5.5752,62.4
[baseline_before] llama3_8b,2432,8,32,8,128,16,128,32,2,2,4,1,6.1546,62.98
[baseline_before] llama3_8b,2560,8,32,8,128,16,128,32,2,2,4,1,6.7782,63.364
[baseline_before] llama3_8b,2688,8,32,8,128,16,128,32,2,2,4,1,7.4264,63.762
[baseline_before] llama3_8b,2816,8,32,8,128,16,128,32,2,2,4,1,8.1373,63.866
[baseline_before] llama3_8b,2944,8,32,8,128,16,128,32,2,2,4,1,8.8247,64.366
[baseline_before] llama3_8b,3072,8,32,8,128,16,128,32,2,2,4,1,9.5609,64.688
[baseline_before] llama3_8b,3200,8,32,8,128,16,128,32,2,2,4,1,10.3564,64.799
[baseline_before] llama3_8b,3328,8,32,8,128,16,128,32,2,2,4,1,11.2101,64.75
[baseline_before] llama3_8b,3456,8,32,8,128,16,128,32,2,2,4,1,12.0547,64.934
[baseline_before] llama3_8b,3584,8,32,8,128,16,128,32,2,2,4,1,12.9337,65.087
[baseline_before] llama3_8b,3712,8,32,8,128,16,128,32,2,2,4,1,13.842,65.237
[baseline_before] llama3_8b,3840,8,32,8,128,16,128,32,2,2,4,1,14.7988,65.301
[baseline_before] llama3_8b,3968,8,32,8,128,16,128,32,2,2,4,1,15.8258,65.201
[baseline_before] llama3_8b,4096,8,32,8,128,16,128,32,2,2,4,1,16.8424,65.283
[baseline_before] llama3_8b,4224,8,32,8,128,16,128,32,2,2,4,1,17.901,65.321
[baseline_before] llama3_8b,4352,8,32,8,128,16,128,32,2,2,4,1,18.9517,65.495
[baseline_before] llama3_8b,4480,8,32,8,128,16,128,32,2,2,4,1,20.0482,65.609
