label,kv_len,batch_size,num_qo_heads,num_kv_heads,head_dim,page_size,dtype,use_tensor_cores,backend,fixed_split_size,requested_fixed_split_size,target_split_k,split_k_count,disable_split_kv,split_kv,kv_chunk_size_tokens,kv_chunk_size_pages,num_chunks_kv,CTA_TILE_Q,CTA_TILE_KV,NUM_MMA_Q,NUM_MMA_KV,NUM_WARPS_Q,NUM_WARPS_KV,ms,tflops,gb_per_s_est,measurement_mode,measurement_warmup,measurement_repeat,measurement_trials
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,128,1,32,8,128,16,fp16,1,fa2,,,,,0,0,128,8,1,16,64,1,1,1,4,0.0433,0.048,12.1,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,256,1,32,8,128,16,fp16,1,fa2,,,,,0,0,256,16,1,16,64,1,1,1,4,0.04131,0.102,25.4,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,384,1,32,8,128,16,fp16,1,fa2,,,,,0,0,384,24,1,16,64,1,1,1,4,0.04127,0.152,38.1,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,512,1,32,8,128,16,fp16,1,fa2,,,,,0,0,512,32,1,16,64,1,1,1,4,0.04107,0.204,51.1,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,640,1,32,8,128,16,fp16,1,fa2,,,,,0,0,640,40,1,16,64,1,1,1,4,0.04226,0.248,62.0,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,768,1,32,8,128,16,fp16,1,fa2,,,,,0,0,768,48,1,16,64,1,1,1,4,0.04226,0.298,74.4,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,896,1,32,8,128,16,fp16,1,fa2,,,,,0,0,896,56,1,16,64,1,1,1,4,0.04231,0.347,86.7,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,1024,1,32,8,128,16,fp16,1,fa2,,,,,0,0,1024,64,1,16,64,1,1,1,4,0.04223,0.397,99.3,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,1152,1,32,8,128,16,fp16,1,fa2,,,,,0,0,1152,72,1,16,64,1,1,1,4,0.04129,0.457,114.3,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,1280,1,32,8,128,16,fp16,1,fa2,,,,,0,0,1280,80,1,16,64,1,1,1,4,0.04155,0.505,126.2,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,1408,1,32,8,128,16,fp16,1,fa2,,,,,0,0,1408,88,1,16,64,1,1,1,4,0.04127,0.559,139.7,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,1536,1,32,8,128,16,fp16,1,fa2,,,,,0,0,1536,96,1,16,64,1,1,1,4,0.04105,0.613,153.3,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,1664,1,32,8,128,16,fp16,1,fa2,,,,,0,0,1664,104,1,16,64,1,1,1,4,0.04129,0.66,165.1,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,1792,1,32,8,128,16,fp16,1,fa2,,,,,0,0,1792,112,1,16,64,1,1,1,4,0.04147,0.708,177.0,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,1920,1,32,8,128,16,fp16,1,fa2,,,,,0,0,1920,120,1,16,64,1,1,1,4,0.04235,0.743,185.7,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,2048,1,32,8,128,16,fp16,1,fa2,,,,,0,1,1024,64,2,16,64,1,1,1,4,0.04989,0.673,168.1,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,2176,1,32,8,128,16,fp16,1,fa2,,,,,0,1,1088,68,2,16,64,1,1,1,4,0.05096,0.7,174.9,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,2304,1,32,8,128,16,fp16,1,fa2,,,,,0,1,1152,72,2,16,64,1,1,1,4,0.04973,0.759,189.8,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,2432,1,32,8,128,16,fp16,1,fa2,,,,,0,1,1216,76,2,16,64,1,1,1,4,0.04965,0.803,200.6,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,2560,1,32,8,128,16,fp16,1,fa2,,,,,0,1,1280,80,2,16,64,1,1,1,4,0.0507,0.827,206.8,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,2688,1,32,8,128,16,fp16,1,fa2,,,,,0,1,1344,84,2,16,64,1,1,1,4,0.04989,0.883,220.7,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,2816,1,32,8,128,16,fp16,1,fa2,,,,,0,1,1408,88,2,16,64,1,1,1,4,0.04957,0.931,232.7,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,2944,1,32,8,128,16,fp16,1,fa2,,,,,0,1,1472,92,2,16,64,1,1,1,4,0.05005,0.964,240.9,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,3072,1,32,8,128,16,fp16,1,fa2,,,,,0,1,1024,64,3,16,64,1,1,1,4,0.0498,1.011,252.7,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,3200,1,32,8,128,16,fp16,1,fa2,,,,,0,1,1072,67,3,16,64,1,1,1,4,0.04982,1.052,263.1,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,3328,1,32,8,128,16,fp16,1,fa2,,,,,0,1,1120,70,3,16,64,1,1,1,4,0.0499,1.093,273.2,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,3456,1,32,8,128,16,fp16,1,fa2,,,,,0,1,1152,72,3,16,64,1,1,1,4,0.05064,1.118,279.5,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,3584,1,32,8,128,16,fp16,1,fa2,,,,,0,1,1200,75,3,16,64,1,1,1,4,0.05063,1.16,290.0,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,3712,1,32,8,128,16,fp16,1,fa2,,,,,0,1,1248,78,3,16,64,1,1,1,4,0.05042,1.206,301.5,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,3840,1,32,8,128,16,fp16,1,fa2,,,,,0,1,1280,80,3,16,64,1,1,1,4,0.04973,1.265,316.3,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,3968,1,32,8,128,16,fp16,1,fa2,,,,,0,1,1328,83,3,16,64,1,1,1,4,0.04992,1.302,325.6,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,4096,1,32,8,128,16,fp16,1,fa2,,,,,0,1,1024,64,4,16,64,1,1,1,4,0.04964,1.352,338.0,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,4224,1,32,8,128,16,fp16,1,fa2,,,,,0,1,1056,66,4,16,64,1,1,1,4,0.04998,1.385,346.1,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,4352,1,32,8,128,16,fp16,1,fa2,,,,,0,1,1088,68,4,16,64,1,1,1,4,0.04993,1.428,357.0,median,100,100,10
[patched_heuristic] llama3_8b_float16_split_auto_alpha16_beta16_bs1,4480,1,32,8,128,16,fp16,1,fa2,,,,,0,1,1120,70,4,16,64,1,1,1,4,0.04978,1.475,368.6,median,100,100,10
