batch_size,kv_len,default_ms,patched_ms,oracle_ms,default_chunks,patched_chunks,oracle_chunks,oracle_k,oracle_source,patched_speedup,oracle_speedup
1,128,0.04113,0.0433,0.0432,1.0,1.0,1.0,1,k_1,0.9498845265588914,0.9520833333333333
1,256,0.04895,0.04131,0.0414,2.0,1.0,1.0,1,k_1,1.1849431130476882,1.182367149758454
1,384,0.04853,0.04127,0.0414,3.0,1.0,1.0,1,k_1,1.1759147080203536,1.172222222222222
1,512,0.04808,0.04107,0.0409,4.0,1.0,1.0,1,k_1,1.1706841977112246,1.1755501222493887
1,640,0.04776,0.04226,0.041,5.0,1.0,1.0,1,k_1,1.1301467108376715,1.1648780487804877
1,768,0.04838,0.04226,0.0412,6.0,1.0,1.0,1,k_1,1.1448177946048272,1.174271844660194
1,896,0.04847,0.04231,0.0412,7.0,1.0,1.0,1,k_1,1.1455920586149846,1.1764563106796115
1,1024,0.04819,0.04223,0.0407,8.0,1.0,1.0,1,k_1,1.1411318967558608,1.184029484029484
1,1152,0.04843,0.04129,0.0413,9.0,1.0,1.0,1,k_1,1.172923225962703,1.172639225181598
1,1280,0.04824,0.04155,0.0411,10.0,1.0,1.0,1,k_1,1.1610108303249098,1.1737226277372264
1,1408,0.04864,0.04127,0.0406,11.0,1.0,1.0,1,k_1,1.1785800823842985,1.1980295566502464
1,1536,0.04766,0.04105,0.041,12.0,1.0,1.0,1,k_1,1.161023142509135,1.1624390243902438
1,1664,0.04815,0.04129,0.042,13.0,1.0,1.0,1,k_1,1.1661419229837733,1.1464285714285714
1,1792,0.0495,0.04147,0.0409,14.0,1.0,1.0,1,k_1,1.193633952254642,1.210268948655257
1,1920,0.0517,0.04235,0.0409,15.0,1.0,1.0,1,k_1,1.220779220779221,1.2640586797066016
1,2048,0.0479,0.04989,0.0421,16.0,2.0,1.0,1,k_1,0.9601122469432752,1.1377672209026128
1,2176,0.04828,0.05096,0.0412,17.0,2.0,1.0,1,k_1,0.9474097331240189,1.1718446601941748
1,2304,0.04852,0.04973,0.0424,18.0,2.0,1.0,1,k_1,0.9756686104966821,1.1443396226415095
1,2432,0.04834,0.04965,0.0433,19.0,2.0,1.0,1,k_1,0.9736153071500504,1.1163972286374135
